product_id,name,Model,sku,UPC,URL,Image_URL,category_tree,QTY,price,Special_price,Cost_price,shipping,Status
3879,theBalm Liquid TimeBalm Spot Concealer witn Tea Tree Oil - Nude,200366,21 -P20-200366,681619200366          ,http://www.icuracao.com/thebalm-liquid-timebalm-spot-concealer-witn-tea-tree-oil-nude.html,http://www.icuracao.com/media/catalog/product/2/1/21_-p20-200366.500x500..jpg,Fashion & Beauty_Cosmetics,10.0000,20.0000,,10.0000,5.99,1
3880,Samsung SSG4100GB 3D Glasses for Television,SSG4100GB,32A-863-SSG4100GB,036725237391 ,http://www.icuracao.com/samsung-ssg4100gb-3d-glasses-for-television.html,http://www.icuracao.com/media/catalog/product/s/s/ssg4100gb.500x500._1_1.jpg,Electronics_Audio and Visual Accessories_Miscellaneous Accessories_3 zeros,134.0000,21.9900,,14.8800,5.99,1
3881,LG 42LS3400  42" LED/ 1080p/ HDTV ,42LS3400,32O-285-42LS3400,719192586499   ,http://www.icuracao.com/televisor-lg-42ls3400-led-hd-de-42-1080p.html,http://www.icuracao.com/media/catalog/product/3/2/32o-285-42ls3400.500x50..jpg,Electronics_Televisions & Home Theater_LED_Pre Christmas Catalog,1.0000,649.9900,549.9900,523.6100,49.99,1
3882,Samsung GTP3113TSYXA Galaxy Tab II 7.0" with 8GB Memory - Titanium Silver,GTP3113TSYXA,25L-O55-GTP3113TSYXA,635753498301          ,http://www.icuracao.com/samsung-gtp3113tsyxa-galaxy-tab-2-7-0-with-8gb-memory-titanium-silver.html,http://www.icuracao.com/media/catalog/product/2/5/25l-o55-gtp3113tsyxa.500x500..jpg,Electronics_Computers & Tablets_Tablets & E-readers,3.0000,219.9900,,228.4300,12.99,1
3883,Sharp Aquos LC42LE540U 42" Class LED/ 1080p / 120Hz / Smart HDTV,LC42LE540U,32O-827-LC42LE540U,074000373389          ,http://www.icuracao.com/televisor-sharp-aquos-lc42le540u-led-hd-de-42-1080p-120hz-inteligente.html,http://www.icuracao.com/media/catalog/product/3/2/32o-827-lc42le540u.500x500..jpg,Electronics_Televisions & Home Theater_LED_Top Sellers_The Latest in Technology_3 zeros,1.0000,769.9900,619.9900,583.0000,49.99,1
3885, Uncharted 3: Drake Deception (Game of the Year Edition) 250GB Bundle - PlayStation 3,PS3/SCE99106,081-T05-PS3/SCE99106,711719991069 ,http://www.icuracao.com/sony-99106-playstation-3-uncharted-3-250gb-bundle.html,http://www.icuracao.com/media/catalog/product/0/8/081-t05-ps3-sce99106.500x500..jpg,Electronics_Video Games_Consoles_Hot Gift Ideas_PlayStation 3_Christmas Catalog_Last Minute Shopping_Console,13.0000,279.9900,,263.9000,17.99,1
3886,Estrellas de Tuzantla Dos Mil Doce  -  CD,2786543622,35R-051-2786543622,827865436221          ,http://www.icuracao.com/estrellas-de-tuzantla-dos-mil-doce-cd.html,http://www.icuracao.com/media/catalog/product/3/5/35r-051-2786543622.500x500..jpg,Electronics_Entertainment,42.0000,9.9900,,7.8200,2.99,1
3887,El Compa Chuy: Las Consentidas Del Viejón al Estilo Parribeño - CD,2786543652,35R-051-2786543652,827865436528          ,http://www.icuracao.com/el-compa-chuy-las-consentidas-del-viejon-al-estilo-parribe-o-cd.html,http://www.icuracao.com/media/catalog/product/3/5/35r-051-2786543652.500x500..jpg,Entertainment,37.0000,9.9900,,7.8200,2.99,1
3890,Taylor Swift-Red ,BMR310400A,35O-051-BMR310400A,843930007073          ,http://www.icuracao.com/taylor-swift-red-cd.html,http://www.icuracao.com/media/catalog/product/3/5/35o-051-bmr310400a.500x500..jpg,Electronics_Entertainment_Music,2.0000,14.9900,,11.4200,2.99,1
3891,Paulina Rubio-Bravisima,B001766502,35P-051-B001766502,602537168019          ,http://www.icuracao.com/paulina-rubio-bravisima.html,http://www.icuracao.com/media/catalog/product/3/5/35p-051-b001766502.500x500..jpg,Electronics_Entertainment,29.0000,4.9900,,3.5000,2.99,1
